mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,label
4.9999199892,0.0108573341,0.0136814013,0.0001178817,0.0001871807,-164.2267002764,21.0707997985,27648.1065109788,3351.7355589969,4.9999317776,0.0138118739,24.9993177803,0.0001907679,5.0000000000,1.1874752037,3.1618701743,-0.5236816406,0.0001178881,0.9999976423,0.1371261371,medium,B
4.9999336061,0.0034836232,0.0191716776,0.0000121356,0.0003675532,-127.5553044823,86.8340151432,18816.0650942886,8916.7737174132,4.9999348197,0.0193157939,24.9993482008,0.0003730999,5.0000000000,2.2405163732,4.4782860805,-0.0848388672,0.0000121400,0.9999997573,0.1219280679,medium,C
4.9999244586,0.0036601248,1.1672711925,0.0000133965,1.3625220368,-126.6478177830,-3.7894513046,19128.3539707102,12.3658496069,4.9999257983,1.2018867721,24.9992579880,1.4445318130,5.0000000000,1.8894009217,4.4343394269,-5.0000000000,0.0000134022,0.9999997321,-0.2382699414,medium,C
4.9998057429,0.0108011808,0.0183239775,0.0001166655,0.0003357682,-66.6231067569,7.6518713574,4547.1500354392,1684.0743933327,4.9998174099,0.0184773848,24.9981741321,0.0003414137,5.0000000000,0.9241004669,4.2588579974,-0.7431030273,0.0001167032,0.9999976665,0.1285921557,small,B
4.9998891810,0.0020776713,0.0171805632,0.0000043167,0.0002951718,-18.6949951845,-17.8292742599,347.5028449502,2273.0637481626,4.9998896127,0.0172011567,24.9988961392,0.0002958798,5.0000000000,0.7925656911,4.9609363079,-1.0940551758,0.0000043290,0.9999999137,0.0489183113,small,A
4.9999498772,0.0020606568,0.0176063227,0.0000042463,0.0003099826,-52.1330747623,54.5347399717,3029.3778218599,3652.1435667311,4.9999503019,0.0177506404,24.9995030210,0.0003150852,5.0000000000,1.1874752037,4.8730430006,-0.0410461426,0.0000042488,0.9999999151,0.1272574445,small,B
4.9996604390,0.0184507615,0.0206597291,0.0003404306,0.0004268244,-89.8922473620,14.7785125588,8704.5244324179,3533.3598355932,4.9996944843,0.0207090803,24.9969449360,0.0004288660,5.0000000000,1.8894009217,2.9863887448,-1.1817932129,0.0003405459,0.9999931905,0.0689960869,medium,A
4.9996098567,0.0224122375,0.0172033084,0.0005023084,0.0002959538,-77.7207137031,12.4180593108,6498.9362223871,2782.0935000016,4.9996600912,0.0172172406,24.9966010274,0.0002964334,5.0000000000,1.4067506943,2.7231666005,-1.0501098633,0.0005024606,0.9999899524,0.0402211485,medium,A
4.9998927245,0.0029660100,0.0179469590,0.0000087972,0.0003220933,-43.3004429080,63.5558946253,2302.2631459737,4494.2662483352,4.9998936043,0.0181635898,24.9989360540,0.0003299160,5.0000000000,1.2752159185,4.8292489395,-0.0848388672,0.0000088087,0.9999998240,0.1539839485,small,C
4.9993340412,0.0334815220,0.0206811385,0.0011210123,0.0004277095,-68.8416123787,45.5556833163,4766.9157255578,2933.3192695131,4.9994461561,0.0206853314,24.9944618675,0.0004278829,5.0000000000,1.3190099796,2.6792199469,-0.0410461426,0.0011214558,0.9999775745,0.0201335944,small,A
4.9997800475,0.0148352641,0.0166013621,0.0002200851,0.0002756052,-101.3630708389,-13.8971464145,10982.7590762555,2119.3905826257,4.9998020569,0.0166877765,24.9980206086,0.0002784819,5.0000000000,1.0995818964,3.2935575426,-1.0063171387,0.0002201334,0.9999955979,0.1016356379,medium,B
4.9999472904,0.0014339646,0.0087551296,0.0000020563,0.0000766523,-27.1682252321,-14.5215001237,736.1124622596,562.9960515945,4.9999474960,0.0089259034,24.9994749627,0.0000796718,5.0000000000,0.1344340342,4.9609363079,-0.3919982910,0.0000020590,0.9999999589,0.1946759123,small,B
4.9997669964,0.0092342341,0.0261296889,0.0000852711,0.0006827606,-60.5889626747,51.4816550485,3925.2033064246,3664.8154662605,4.9997755239,0.0262333048,24.9977552893,0.0006881863,5.0000000000,1.7578661458,4.3903927732,-0.5674743652,0.0000853254,0.9999982944,0.0887916853,small,B
4.9999352785,0.0022110184,0.0090051189,0.0000048886,0.0000810922,-42.9995485142,8.3928647943,2123.0207239435,510.6753002160,4.9999357674,0.0091531513,24.9993576782,0.0000837802,5.0000000000,0.3976561785,4.8730430006,-0.0410461426,0.0000048928,0.9999999022,0.1791203323,small,B
4.9997824085,0.0135720330,0.0192316397,0.0001842001,0.0003698560,-92.9673265549,89.7879020083,8940.0042170936,9032.8979166347,4.9998008293,0.0193697462,24.9980083328,0.0003751871,5.0000000000,1.9333475753,3.6884670553,-0.0410461426,0.0001842474,0.9999963157,0.1192022991,small,B
4.9998365550,0.0076234243,0.0328911509,0.0000581166,0.0010818278,-66.0108621559,30.9218226956,4500.9776506306,2526.8584352514,4.9998423669,0.0329226550,24.9984236936,0.0010839012,5.0000000000,1.9771416364,4.4782860805,-1.0501098633,0.0000581433,0.9999988376,0.0437367789,small,B
4.9997939032,0.0028299160,0.0225465686,0.0000080084,0.0005083478,-13.6581786648,-8.6891635552,184.5458444396,1404.8381147893,4.9997947041,0.0225468937,24.9979470833,0.0005083624,5.0000000000,1.0118411817,4.9609363079,-1.0501098633,0.0000080509,0.9999998398,0.0053700023,small,A
4.9996635892,0.0046460018,0.0225083612,0.0000215853,0.0005066263,-25.5628347114,39.5158118940,989.3824908437,2395.2939179180,4.9996657478,0.0225107881,24.9966575901,0.0005067356,5.0000000000,1.3629566332,4.7853022858,-0.1725769043,0.0000216985,0.9999995682,-0.0146837122,small,A
4.9997108329,0.0184113395,0.0185685116,0.0003389774,0.0003447896,-105.4313905397,45.4618014651,12075.0856193741,8792.3074973563,4.9997447325,0.0186327584,24.9974473901,0.0003471797,5.0000000000,2.3720511490,2.6354258858,-1.1378479004,0.0003390610,0.9999932197,0.0829712063,medium,A
4.9997003717,0.0136304194,0.0143281461,0.0001857883,0.0002052958,-126.7042963053,8.0656627588,18146.1756391312,1132.7081759712,4.9997189516,0.0143445142,24.9971895947,0.0002057651,5.0000000000,0.8363597522,2.9424420911,-0.6991577148,0.0001858781,0.9999962838,0.0477581889,medium,A
4.9996884535,0.0214737826,0.0246158104,0.0004611233,0.0006059381,-90.2737726479,60.4569482313,8608.9126911613,6106.2096255159,4.9997345684,0.0246167168,24.9973457549,0.0006059827,5.0000000000,2.4597918638,2.6354258858,-0.7868957520,0.0004612204,0.9999907765,0.0085812769,medium,A
4.9998291855,0.0154706146,0.0102371542,0.0002393399,0.0001047993,-129.0553559238,116.7287434350,18123.2274059359,18686.9527842379,4.9998531203,0.0105446634,24.9985312243,0.0001111899,5.0000000000,1.6261787774,2.6792199469,-0.2165222168,0.0002393691,0.9999952129,0.2397386686,medium,C
4.9996394102,0.0205464717,0.0211760300,0.0004221575,0.0004484242,-74.7015940884,28.2358507664,5889.5597408573,3591.7945136694,4.9996816288,0.0212346191,24.9968163895,0.0004509090,5.0000000000,1.7139194922,3.1618701743,-1.0063171387,0.0004222875,0.9999915557,0.0742337366,medium,B
4.9994740715,0.0290051472,0.0267005385,0.0008412986,0.0007129188,-60.9923002771,62.6694605238,3941.8429339694,4527.3721934709,4.9995582095,0.0268240545,24.9955822900,0.0007195299,5.0000000000,2.4159978027,2.7669606616,-0.1287841797,0.0008415752,0.9999831709,0.0958548149,medium,B
4.9992638275,0.0299696709,0.0136401751,0.0008981812,0.0001860544,-56.5130795881,-36.1466482487,3340.8545026676,1835.0553915782,4.9993536580,0.0137478583,24.9935369978,0.0001890036,5.0000000000,0.1783806879,3.1618701743,-0.7431030273,0.0008987231,0.9999820316,0.1249163380,small,C
4.9993181334,0.0294822667,0.0316065599,0.0008692040,0.0009989746,-62.6979245043,61.9094889134,4114.8066070409,4482.9294765696,4.9994050649,0.0317179847,24.9940510032,0.0010060306,5.0000000000,2.2405163732,3.0303353984,-0.5236816406,0.0008696690,0.9999826116,0.0837473985,small,C
4.9998737478,0.0038660169,0.0071320540,0.0000149461,0.0000508662,-43.8079103066,2.1736890069,2197.2585829676,209.7886967552,4.9998752425,0.0074580362,24.9987524404,0.0000556223,5.0000000000,0.2221747490,4.7853022858,-0.0848388672,0.0000149620,0.9999997011,0.2924161865,small,B
4.9992599950,0.0223173490,0.0367313228,0.0004980641,0.0013491901,-52.3684065919,-35.1979489235,2980.3322065942,1885.0612016070,4.9993098086,0.0367452292,24.9930985622,0.0013502119,5.0000000000,0.7486190374,3.6445204016,-1.9715881348,0.0004986117,0.9999900359,-0.0275093949,small,A
4.9998331171,0.0137152593,1.1452110262,0.0001881083,1.3115082946,-161.5331044801,-3.8800489788,27226.6935357301,13.0654473143,4.9998519285,1.1781302973,24.9985193072,1.3879909974,5.0000000000,2.4597918638,2.6792199469,-5.0000000000,0.0001881362,0.9999962376,-0.2347406424,medium,B
4.9999358165,0.0015821269,0.0184756784,0.0000025031,0.0003413507,-24.6094828420,57.6439234835,603.6266457519,4007.4139258740,4.9999360668,0.0186208087,24.9993606721,0.0003467345,5.0000000000,1.2752159185,4.9609363079,-0.2165222168,0.0000025072,0.9999999499,0.1246082801,small,C
4.9996798894,0.0238523886,0.0174132925,0.0005689364,0.0003032228,-91.0445930079,105.0210183484,8606.4383038560,13330.5033278247,4.9997367863,0.0176302355,24.9973679327,0.0003108252,5.0000000000,2.4597918638,2.6354258858,-0.0848388672,0.0005690389,0.9999886200,0.1563934706,medium,C
4.9999368994,0.0057687003,0.0221994428,0.0000332779,0.0004928153,-291.6638125713,85.9854581560,95553.9435819038,8190.3416817849,4.9999402273,0.0223515101,24.9994022763,0.0004995900,5.0000000000,2.3282570879,2.8109073153,-0.0410461426,0.0000332819,0.9999993344,0.1164499997,medium,C
4.9999085889,0.0025707040,0.0212865378,0.0000066085,0.0004531167,-35.9300527328,12.8173790059,1505.1080962544,2089.6134897575,4.9999092497,0.0213266091,24.9990925056,0.0004548243,5.0000000000,1.1435285501,4.8730430006,-0.9185791016,0.0000066169,0.9999998678,0.0612726399,small,A
4.9997138092,0.0183711638,0.0277948306,0.0003374997,0.0007725526,-96.6704565179,43.5652889791,10263.3379395879,3030.3348707383,4.9997475610,0.0278051922,24.9974756737,0.0007731287,5.0000000000,2.1527756584,2.8109073153,-0.8308410645,0.0003375816,0.9999932493,0.0272975990,medium,A
4.9996949790,0.0194290902,0.0185032590,0.0003774895,0.0003423706,-100.2610416627,16.7444204551,10740.9792867120,2874.1488584952,4.9997327302,0.0185127217,24.9973273730,0.0003427209,5.0000000000,1.5822321238,2.6354258858,-1.0063171387,0.0003775826,0.9999924494,0.0319692073,medium,A
4.9996792001,0.0192483094,0.0179863330,0.0003704974,0.0003235082,-93.2842536789,16.8176862686,9967.0264947897,2997.2305734020,4.9997162521,0.0179864324,24.9971626014,0.0003235118,5.0000000000,1.7139194922,2.5914792322,-0.8308410645,0.0003706003,0.9999925892,-0.0033251264,medium,A
4.9998279300,0.0115143476,0.0212435254,0.0001325802,0.0004512874,-112.2184165480,31.3138873861,14313.4184850294,3387.3725823641,4.9998411884,0.0212828963,24.9984119094,0.0004529617,5.0000000000,1.9333475753,3.3812982574,-1.0063171387,0.0001326098,0.9999973482,0.0607975770,medium,A
4.9996857169,0.0225901332,0.0192708840,0.0005103141,0.0003713670,-87.2039153692,49.5198239825,7771.5082698818,4625.0627027292,4.9997367512,0.0193249041,24.9973675817,0.0003734519,5.0000000000,1.8016602069,2.8547013764,-0.8308410645,0.0005104129,0.9999897926,0.0747189056,medium,B
4.9998137158,0.0162438607,0.0204034399,0.0002638630,0.0004163004,-119.2695326341,95.9677183926,15119.5048139707,10390.1058387657,4.9998401030,0.0206096834,24.9984010553,0.0004247591,5.0000000000,2.4597918638,2.7669606616,-0.0848388672,0.0002638977,0.9999947224,0.1411173038,medium,C
4.9999904764,0.0008643886,0.0113655584,0.0000007472,0.0001291759,-118.9263054787,-12.0871085330,16201.5306053298,1728.8146097887,4.9999905512,0.0115562840,24.9999055116,0.0001335477,5.0000000000,0.7925656911,4.8730430006,-0.5236816406,0.0000007473,0.9999999851,0.1809301880,medium,B
4.9996860627,0.0176136299,0.0224328569,0.0003102400,0.0005032331,-80.1175858454,23.9490819954,6801.8466826152,3243.1719595111,4.9997170885,0.0224721878,24.9971709651,0.0005049992,5.0000000000,1.8456068606,3.2496108890,-1.0063171387,0.0003103385,0.9999937945,0.0591383254,medium,A
