mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.3974200788,0.0253491765,0.0130918124,0.0006425808,0.0001713956,-33.0697593942,5.0158768765,2616.3644887203,3061.7145490431,4.3974931416,0.0131870954,19.3379459302,0.0001738995,5.0000000000,1.3629566332,2.1527756584,-0.8308410645,1.2049734101,0.9999833854,0.1199947099,large,174,A
4.6497774604,0.0228230814,0.0056259594,0.0005208930,0.0000316514,-39.5447630663,-7.2221333083,2240.8666705225,55.2614368372,4.6498334727,0.0060403823,21.6209513242,0.0000364862,4.7853022858,0.0466933195,3.3373516037,-0.0410461426,1.8224200856,0.9999879539,0.3640196204,small,13,A
4.6516417811,0.0267732731,0.0101990521,0.0007168082,0.0001040207,-53.4278358401,-1.5835258961,3400.5269616687,51.8519111426,4.6517188294,0.0102307322,21.6384880676,0.0001046679,4.7853022858,0.2221747490,2.9424420911,-0.0848388672,1.8276523125,0.9999834366,0.0786355187,small,13,B
4.6521990993,0.0124482183,2.4687075861,0.0001549581,6.0945171459,0.5902112152,-0.3206892155,38.7088650846,-1.8971158576,4.6522157535,3.2435851074,21.6431114175,10.5208443488,4.8730430006,0.0466933195,4.5660267953,-5.0000000000,1.8285973622,0.9999964201,-0.6486291459,small,13,B
4.6517256285,0.0276638188,1.3315137307,0.0007652869,1.7729288151,-65.4329590148,-3.1786071058,5604.0430609852,8.1052413506,4.6518078862,1.3855284909,21.6393166100,1.9196891990,4.8730430006,1.5384380627,1.7139194922,-5.0000000000,1.8279274617,0.9999823171,-0.2764960674,large,174,B
4.6514650805,0.0242699688,0.0137311319,0.0005890314,0.0001885440,-69.1020830308,31.5273817310,6737.9674737535,3093.5886715585,4.6515283969,0.0137443687,21.6367164268,0.0001889077,4.8730430006,1.6261787774,1.6701254311,-0.2165222168,1.8270468953,0.9999863881,0.0438772008,large,174,B
4.3898371013,0.0060550401,0.0078158725,0.0000366635,0.0000610879,-4.5158559792,-4.8944982400,48.1067198473,26.0044624730,4.3898412772,0.0079702880,19.2707064394,0.0000635255,4.4343394269,0.0466933195,4.3465987121,-0.0410461426,1.1877815709,0.9999990487,0.1958888794,small,13,A
4.4144255039,0.0222113136,0.4144655040,0.0004933425,0.1717816540,-1.5470249975,-11.8894013354,93.9614542584,139.5249749960,4.4144813820,0.4157446353,19.4876458718,0.1728436018,5.0000000000,1.3629566332,2.8547013764,-5.0000000000,1.2424375462,0.9999873421,-0.0783835488,medium,44,A
4.4013706758,0.0203061540,0.0218957713,0.0004123399,0.0004794248,-1.0147579641,49.6511546627,49.4919086340,3421.4337764227,4.4014175177,0.0219454638,19.3724761655,0.0004816034,4.6098208563,1.4506973479,3.9516891995,-0.4359436035,1.2134297053,0.9999893575,0.0672576970,small,13,A
4.4325187605,0.0274936231,0.0094000247,0.0007558993,0.0000883605,-63.1290603907,-27.7297896555,5150.3520561358,2434.8763601335,4.4326040271,0.0096178121,19.6479784613,0.0000925023,5.0000000000,0.4853968932,1.7139194922,-0.7431030273,1.2833546421,0.9999807638,0.2116023950,medium,44,A
