mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2907097934,0.0176990752,0.0186339499,0.0003132573,0.0003472241,-4.2696717421,43.8280829245,288.1732548014,3253.8419901601,3.2907573902,0.0186891089,10.8290842014,0.0003492828,3.6007263405,1.6261787774,1.7139194922,-0.3919982910,0.0003995652,0.9999855362,0.0767729896,medium,44,B
3.2874537607,0.0223982869,0.0149157741,0.0005016833,0.0002224803,-14.8368380895,35.5745334034,803.9205913153,2722.6211238131,3.2875300626,0.0149605828,10.8078539122,0.0002238190,3.5129856258,1.4506973479,1.6701254311,-0.3482055664,0.0006590914,0.9999767905,0.0773385827,large,174,B
3.3000310433,0.0222420925,0.0122395588,0.0004947107,0.0001498068,-7.5309529008,-37.2323590177,391.8083265566,2063.7149896032,3.3001059979,0.0123309392,10.8906995975,0.0001520521,3.6884670553,0.0466933195,2.5037385174,-0.6991577148,0.0004947116,0.9999772872,0.1215170365,small,13,A
3.2848834900,0.0238141929,0.0121426741,0.0005671158,0.0001474445,-9.3976615155,2.4094325351,315.0750450589,147.0996460319,3.2849698109,0.0121431373,10.7910266584,0.0001474558,3.4690389721,0.3537095248,2.4597918638,-0.0848388672,0.0007956247,0.9999737225,0.0087340963,small,13,B
3.3004885323,0.0268543518,0.0112960487,0.0007211562,0.0001276007,-27.7913857118,-22.4665578942,1385.0255734099,926.0601189613,3.3005977805,0.0113626072,10.8939457084,0.0001291088,3.3373516037,0.0466933195,1.9771416364,-0.5236816406,0.0007213949,0.9999669005,0.1080788584,small,13,A
3.3047669368,0.0196793972,0.0134092831,0.0003872787,0.0001798089,0.9833061555,42.5040361139,-0.3014668189,2562.2054544769,3.3048255302,0.0135666512,10.9218717849,0.0001840540,3.5129856258,0.7925656911,3.1180761132,-0.1287841797,0.0004100024,0.9999822703,0.1518706725,small,13,A
3.2905617345,0.0207639839,0.0778312959,0.0004311430,0.0060577106,-18.1101930254,-61.6791650024,1104.8492218777,3987.8991639974,3.2906272459,0.0778372527,10.8282276714,0.0060586379,3.5567796869,1.6261787774,1.6701254311,-5.0000000000,0.0005202239,0.9999800915,0.0123715001,large,174,B
3.2871322727,0.0219486830,0.0125295915,0.0004817447,0.0001569907,-14.1041388100,26.6377619820,628.5077488381,1671.1342395139,3.2872055492,0.0126260046,10.8057203228,0.0001594160,3.4690389721,0.7486190374,2.2843104343,-0.2604675293,0.0006473231,0.9999777086,0.1233443770,small,13,B
3.2874015391,0.0237739541,1.1259030905,0.0005652009,1.2676577691,-21.1939876657,-3.9660053855,1160.0031605059,13.7328949984,3.2874875026,1.1569150455,10.8075740800,1.3384524225,3.4690389721,1.1435285501,1.9333475753,-5.0000000000,0.0007239221,0.9999738513,-0.2299846024,small,13,B
3.2993148621,0.0220278056,0.0159406745,0.0004852242,0.0002541051,-9.9655269971,19.3424607048,652.5815206550,2365.8465537752,3.2993883953,0.0159888907,10.8859637832,0.0002556446,3.7762077700,1.5384380627,1.7139194922,-0.6552124023,0.0004856936,0.9999777131,0.0776023284,large,174,A
3.2986263649,0.0212914180,2.4862813428,0.0004533245,6.1815949155,-8.8613792930,-0.2178547390,438.7753201107,-1.9525108088,3.2986950783,3.3386113928,10.8813892195,11.1463260325,3.6884670553,0.1344340342,2.5037385174,-5.0000000000,0.0004552114,0.9999791695,-0.6673935349,small,13,B
3.2886239391,0.0214911676,0.0168900666,0.0004618703,0.0002852744,-14.7304574979,50.6160539227,866.9332045768,4214.3018517761,3.2886941608,0.0169553417,10.8155092831,0.0002874836,3.5129856258,1.6261787774,1.6701254311,-0.3042602539,0.0005912850,0.9999786476,0.0876631541,large,174,B
3.3007684083,0.0219395975,0.0169038860,0.0004813459,0.0002857414,-9.1254767435,32.9563010387,618.8234247123,3591.6881088287,3.3008413217,0.0169910847,10.8955534313,0.0002886970,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004819364,0.9999779107,0.1011815985,large,174,A
3.3011357704,0.0319041505,0.0084463451,0.0010178748,0.0000713407,-30.3110773743,-5.3758569245,1534.5393685081,57.9067761230,3.3012899372,0.0085723612,10.8985152496,0.0000734854,3.4690389721,0.0906399731,1.6701254311,-0.1725769043,0.0010191648,0.9999533010,0.1708346232,small,13,A
3.3013119426,0.0197319861,0.0202573541,0.0003893513,0.0004103604,5.4779250183,17.4939205615,101.0043549584,1623.1504862781,3.3013709113,0.0203522176,10.8990498938,0.0004142128,3.7762077700,1.0118411817,3.2496108890,-0.7431030273,0.0003910725,0.9999821381,0.0964388240,small,13,A
3.2895417190,0.0203670788,0.0162799573,0.0004148179,0.0002650370,-15.7850625937,51.0549798746,970.6052688893,4223.1440048276,3.2896047694,0.0163705021,10.8214995391,0.0002679933,3.5567796869,1.6261787774,1.7139194922,-0.3042602539,0.0005241935,0.9999808334,0.1050302655,large,174,B
3.2889262079,0.0174509715,0.0222743524,0.0003045364,0.0004961468,-0.8717076820,57.9187499848,2.4267130934,3868.2491021507,3.2889725048,0.0223834028,10.8173401376,0.0005010167,3.3373516037,1.4944914090,3.2496108890,-0.0410461426,0.0004271653,0.9999859236,0.0985906969,small,13,B
3.2886096280,0.0214429937,0.0165534175,0.0004598020,0.0002740156,-14.2892845170,50.2480521131,796.0900675046,4226.7364303556,3.2886795355,0.0166212706,10.8154130874,0.0002762666,3.5567796869,1.6261787774,1.7139194922,-0.3482055664,0.0005895426,0.9999787430,0.0902659454,large,174,B
3.2998985523,0.0173798277,0.3243010684,0.0003020584,0.1051711830,-4.7544956553,-15.2400617978,453.2052378666,231.1542350626,3.2999443198,0.3249174310,10.8896325140,0.1055713370,3.6007263405,1.4506973479,1.8894009217,-5.0000000000,0.0003020687,0.9999861308,-0.0615659470,medium,44,A
3.2877497121,0.0218746575,0.0171541163,0.0004785006,0.0002942637,-15.1113560216,49.9199098014,882.5112359724,4054.7376770020,3.2878224815,0.0172040522,10.8097766701,0.0002959794,3.5567796869,1.6261787774,1.7139194922,-0.3042602539,0.0006285702,0.9999778670,0.0761361544,large,174,B
3.2885621959,0.0191305587,2.1727682757,0.0003659783,4.7209219797,-2.8386720664,-1.1396045044,55.4544331616,-0.7011677782,3.2886178395,2.5122411236,10.8150072946,6.3113554631,3.4690389721,0.5731376080,2.8547013764,-5.0000000000,0.0004968016,0.9999830799,-0.5019915824,small,13,B
3.3029736611,0.0195130400,0.0207561294,0.0003807587,0.0004308169,1.2367498846,55.8716610353,3.8430776676,3912.5379748551,3.3030312994,0.0208631237,10.9100157645,0.0004352699,3.5567796869,1.5384380627,3.2058168279,-0.3919982910,0.0003896014,0.9999825499,0.1011458814,small,13,A
3.2865369507,0.0223922674,0.0160443553,0.0005014136,0.0002574213,-11.7085871150,40.7461849344,589.8549305935,3437.1677825967,3.2866132328,0.0160702400,10.8018265422,0.0002582526,3.5567796869,1.6261787774,1.8016602069,-0.3042602539,0.0006826673,0.9999767901,0.0567348990,large,174,B
3.2999781185,0.0214603146,0.1107890374,0.0004605451,0.0122742108,-6.8040524779,-43.4585991109,515.3972011870,1971.1707783887,3.3000478978,0.1107926494,10.8903161280,0.0122750112,3.7762077700,1.6261787774,1.6701254311,-5.0000000000,0.0004605456,0.9999788551,-0.0080748548,large,174,A
3.2885822516,0.0217856698,0.1364544124,0.0004746154,0.0186198067,-15.4631393927,-36.0284079903,859.2782285536,1320.2012685599,3.2886544119,0.1364717325,10.8152478407,0.0186245338,3.5567796869,1.6261787774,1.7139194922,-5.0000000000,0.0006049804,0.9999780578,-0.0159314316,large,174,B
3.2903584949,0.0184452683,0.0174017192,0.0003402279,0.0003028198,-5.1393434478,40.7231791211,341.9541387624,3444.3124445294,3.2904101952,0.0174615288,10.8267992526,0.0003049050,3.6007263405,1.6261787774,1.7139194922,-0.4797363281,0.0004331865,0.9999842876,0.0826964757,medium,44,B
3.3027185306,0.0193238925,0.0232053249,0.0003734128,0.0005384871,0.8577997150,40.4096249291,0.7685029632,1941.2636312581,3.3027750612,0.0232924401,10.9083231050,0.0005425378,3.3812982574,1.1435285501,3.1618701743,-0.2604675293,0.0003808032,0.9999828839,0.0864068363,small,13,A
3.3028685455,0.0235733621,2.0800088663,0.0005557034,4.3264368837,-9.0401288636,-1.3350537802,282.7869586782,-0.2174654981,3.3029526687,2.3579270956,10.9094963320,5.5598201880,3.3812982574,0.5731376080,2.5475325785,-5.0000000000,0.0005639320,0.9999745309,-0.4709975625,small,13,A
3.3008265493,0.0282782667,2.2854399388,0.0007996604,5.2232357138,-19.3256125453,0.8874145746,708.5897452583,-1.2124694536,3.3009476774,4.1916154039,10.8962555688,17.5696396945,3.4690389721,0.0466933195,2.2405163732,-5.0000000000,0.0008003436,0.9999633051,-0.8382794387,small,13,A
3.2865713418,0.0206456454,2.4440759855,0.0004262427,5.9735074229,-1.4035929956,-0.4326155968,18.0972380949,-1.8125580963,3.2866361872,3.1395230768,10.8019774272,9.8566051498,3.4690389721,1.3629566332,2.9424420911,-5.0000000000,0.0006065715,0.9999802700,-0.6276614860,small,13,B
3.3005654488,0.0222388575,0.0976208600,0.0004945668,0.0095298323,-9.6326097385,-49.3623203585,698.5569719148,2535.7182457145,3.3006403695,0.0976212828,10.8942268485,0.0095299149,3.7762077700,1.5384380627,1.6701254311,-5.0000000000,0.0004948865,0.9999773012,-0.0029432999,large,174,A
3.2992349834,0.0246566906,0.0126019033,0.0006079524,0.0001588080,-26.7462744679,18.1711329578,1505.0779245970,1864.5483144412,3.2993271175,0.0127057294,10.8855594282,0.0001614356,3.6445204016,0.9241004669,1.7139194922,-0.4797363281,0.0006085376,0.9999720749,0.1275790237,medium,44,A
3.3012987474,0.0199161737,0.0315871407,0.0003966540,0.0009977475,-1.0063632850,45.5922308905,37.1416463041,2255.8525197179,3.3013588223,0.0316532579,10.8989700737,0.0010019287,3.3812982574,1.5822321238,2.8986480300,-0.2165222168,0.0003983407,0.9999818030,0.0646005175,small,13,A
3.3019960841,0.0193302535,1.6054161643,0.0003736587,2.5773610606,1.1479121364,-2.3883926684,3.3519282726,3.7052418110,3.3020526644,1.7076131591,10.9035517982,2.9159427012,3.5129856258,0.6608783227,3.2496108890,-5.0000000000,0.0003776431,0.9999828651,-0.3407549785,small,13,A
3.3033217900,0.0293330065,0.0231910211,0.0008604253,0.0005378235,-27.1128578203,60.4947913096,1365.0597786821,4135.7648521346,3.3034520238,0.0232841480,10.9127952733,0.0005421515,3.5129856258,1.5822321238,1.8456068606,-0.1725769043,0.0008714596,0.9999605765,0.0893486259,small,13,A
3.2912213876,0.0172090924,0.0084955858,0.0002961529,0.0000721750,-0.7716443519,-6.7755754662,13.4835821185,90.3742379640,3.2912663787,0.0086127852,10.8324343753,0.0000741801,3.3812982574,0.0906399731,2.6792199469,-0.2165222168,0.0003732169,0.9999863302,0.1644081849,small,13,B
3.2982038279,0.0215836236,0.0182557331,0.0004658528,0.0003332718,-11.0190559564,16.5621267060,767.9577281487,2072.5667323446,3.2982744494,0.0182582391,10.8786143434,0.0003333633,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004690790,0.9999785884,0.0165677098,large,174,A
3.3053179366,0.0199934073,0.0151203473,0.0003997363,0.0002286249,0.5681864531,40.5742582089,11.0847392333,2779.2348405835,3.3053784047,0.0152749382,10.9255263982,0.0002333237,3.3812982574,1.0557878353,2.5914792322,-0.3919982910,0.0004280168,0.9999817061,0.1419108736,small,13,A
3.2994804116,0.0214148283,0.0151746743,0.0004585949,0.0002302707,-11.1566100323,-2.8444256380,1049.3186119757,1685.4637619322,3.2995499059,0.0152002308,10.8870295817,0.0002310470,3.8639484848,1.0118411817,1.8016602069,-0.8308410645,0.0004588648,0.9999789383,0.0579638582,medium,44,A
3.2879501160,0.0219522058,0.1140467462,0.0004818993,0.0130066603,-13.0930521545,-43.0342805905,638.1133118976,1886.9185763510,3.2880233978,0.1140534095,10.8110978645,0.0130081802,3.5567796869,1.1874752037,1.9333475753,-5.0000000000,0.0006270990,0.9999777125,-0.0108093001,large,174,B
3.2995588354,0.0219869354,0.0176048758,0.0004834253,0.0003099317,-10.2681475598,26.2281716440,709.3635103620,2717.7515507814,3.2996320906,0.0176436836,10.8875719334,0.0003112996,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004836200,0.9999777990,0.0662888931,large,174,A
3.2878619273,0.0236142682,0.4084962431,0.0005576337,0.1668691806,-19.8655314066,-12.0591196711,1208.2839817788,143.7017682948,3.2879467281,0.4097606963,10.8105936869,0.1679038282,3.6445204016,1.6261787774,1.6701254311,-5.0000000000,0.0007049665,0.9999742086,-0.0784993274,medium,44,B
3.2997977229,0.0220123756,0.0163262728,0.0004845447,0.0002665472,-10.7240977494,21.8258300841,721.7654715229,2625.5532079469,3.2998711425,0.0163897608,10.8891495569,0.0002686243,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0004845856,0.9999777508,0.0879333409,large,174,A
3.2998986604,0.0203240324,0.0112453444,0.0004130663,0.0001264578,-9.7502605070,24.8093498202,433.0068563335,1711.0528224373,3.2999612476,0.0114011682,10.8897442354,0.0001299866,3.6007263405,0.8363597522,2.3282570879,-0.3482055664,0.0004130766,0.9999810340,0.1647662463,medium,44,A
3.2998284830,0.0174960290,0.3522018181,0.0003061110,0.1240461207,-6.1318686994,-14.0243238323,576.0619205581,195.2453384488,3.2998748655,0.3530007504,10.8891741281,0.1246095298,3.6007263405,1.5822321238,1.7139194922,-5.0000000000,0.0003061404,0.9999859442,-0.0672413314,medium,44,A
3.2959673146,0.0207538347,2.4671825013,0.0004307217,6.0869894949,-1.6368034019,-0.3277918980,168.9120959822,-1.8924956926,3.2960326547,3.2369903878,10.8638312606,10.4781067709,3.6884670553,0.3099154637,2.7231666005,-5.0000000000,0.0004469842,0.9999801761,-0.6473603685,small,13,B
3.2997126641,0.0219297090,0.0179251654,0.0004809121,0.0003213116,-9.1688934057,30.0865938844,647.7159482880,2826.5135499583,3.2997855352,0.0179822280,10.8885845780,0.0003233605,3.7762077700,1.5822321238,1.6701254311,-0.6552124023,0.0004809947,0.9999779164,0.0796020122,large,174,A
3.3033052036,0.0206106156,2.3288080854,0.0004247975,5.4233470988,-0.0762355045,-0.7829731116,27.5556983335,-1.3867470108,3.3033695019,2.8182885603,10.9122500658,7.9427504090,3.5567796869,1.1435285501,2.8547013764,-5.0000000000,0.0004357218,0.9999805356,-0.5632009647,small,13,A
3.2998695233,0.0217799704,0.0172877015,0.0004743671,0.0002988646,-9.4094900405,32.7927029796,619.8593280511,3162.9394437959,3.2999413992,0.0173531578,10.8896132382,0.0003011321,3.7322611164,1.5822321238,1.8016602069,-0.6552124023,0.0004743841,0.9999782190,0.0867743556,large,174,A
3.2986481218,0.0227066579,0.0180575082,0.0005155923,0.0003260736,-14.7005555408,23.7623860979,964.4754170335,2613.0515041112,3.2987262729,0.0180748202,10.8815950238,0.0003266991,3.7762077700,1.6261787774,1.6701254311,-0.6552124023,0.0005174199,0.9999763087,0.0437570160,large,174,A
3.2886679264,0.0222971313,0.0162939431,0.0004971621,0.0002654926,-18.1341052547,53.3635478664,1067.1393717462,4576.5512091666,3.2887435127,0.0163700657,10.8158338922,0.0002679791,3.5567796869,1.6261787774,1.6701254311,-0.3042602539,0.0006255780,0.9999770167,0.0963254646,large,174,B
3.2964978323,0.0167101624,0.0160256484,0.0002792295,0.0002568214,0.6701759187,8.4584759695,3.6922435284,1217.3177023357,3.2965401845,0.0160972094,10.8671771881,0.0002591202,3.3812982574,0.7486190374,3.2058168279,-0.4797363281,0.0002914947,0.9999871525,0.0941877890,small,13,B
3.2988135895,0.0168660320,0.7196598238,0.0002844630,0.5179102620,0.0611024693,-6.6508552049,84.8625911086,42.2721226587,3.2988567052,0.7271857716,10.8824555613,0.5287991465,3.6884670553,1.4944914090,2.1527756584,-5.0000000000,0.0002858706,0.9999869301,-0.1434981566,medium,44,B
3.2907320402,0.0210202029,0.0146077439,0.0004418489,0.0002133862,-21.0015175337,52.4783066794,1339.5697900578,4602.4878939859,3.2907991749,0.0147479827,10.8293592093,0.0002175030,3.5567796869,1.6261787774,1.6701254311,-0.3482055664,0.0005277440,0.9999795993,0.1375776568,large,174,B
3.3011442922,0.0265697841,2.4781045305,0.0007059534,6.1410020642,-28.6743373636,-0.2704817812,1683.9891970253,-1.9268100416,3.3012512160,3.2900836295,10.8982595914,10.8246502889,3.3812982574,0.0906399731,1.7578661458,-5.0000000000,0.0007072628,0.9999676111,-0.6577868653,small,13,A
3.2984650089,0.0219704193,0.0169054684,0.0004826993,0.0002857949,-10.1083122744,22.3553815200,650.4764210880,2590.0642966620,3.2985381784,0.0169224570,10.8803541146,0.0002863696,3.7322611164,1.5822321238,1.7139194922,-0.6552124023,0.0004850555,0.9999778176,0.0447974125,large,174,A
3.3009206831,0.0227955361,0.0124858928,0.0005196365,0.0001558975,-17.6453996980,-36.3049825929,1093.7059475387,2281.4739612784,3.3009993930,0.0125875440,10.8965969924,0.0001584463,3.7762077700,0.2221747490,1.7578661458,-0.8746337891,0.0005204841,0.9999761557,0.1268300223,medium,44,A
3.3023787374,0.0193708600,2.4870964934,0.0003752302,6.1856489674,0.8800163623,-0.2103603721,0.3492889489,-1.9555992033,3.3024355490,3.3454543720,10.9060805552,11.1920649548,3.3812982574,1.0557878353,3.2496108890,-5.0000000000,0.0003808886,0.9999827971,-0.6688186199,small,13,A
3.3030027215,0.0274104323,2.4632147539,0.0007513318,6.0674269236,-17.2649918577,0.3517852872,619.1728383197,-1.8762367571,3.3031164542,3.8295413800,10.9105783101,14.6653871809,3.3812982574,0.0466933195,2.2843104343,-5.0000000000,0.0007603481,0.9999655681,-0.7656864295,small,13,A
3.3002219258,0.0174332345,0.4043249453,0.0003039177,0.1634786614,-5.2591614892,-12.1810022624,578.2934959884,146.7598575264,3.3002679705,0.4055404740,10.8917686770,0.1644630761,3.6445204016,1.4944914090,1.6701254311,-5.0000000000,0.0003039669,0.9999860482,-0.0773668375,medium,44,A
3.3003760472,0.0217338228,0.1473849217,0.0004723591,0.0217223151,-7.7352661808,-33.3629006673,546.4154665715,1130.4065874030,3.3004476078,0.1474110565,10.8929544120,0.0217300196,3.7762077700,1.5822321238,1.6701254311,-5.0000000000,0.0004725005,0.9999783179,-0.0188295608,large,174,A
