mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2941994955,0.0100827724,0.0189998633,0.0001016623,0.0003609948,-53.6987970686,19.0078651241,8075.9654868327,1699.8246252897,3.2942149259,0.0190275460,10.8518519782,0.0003620475,3.9077425459,1.5822321238,1.7139194922,-0.5674743652,0.0001353082,0.9999953159,-0.0539225153,large,174,B
3.2925832014,0.0125591270,0.0228342826,0.0001577317,0.0005214045,-8.5368549751,1.5835559886,4583.0645391428,735.3521950668,3.2926071539,0.0235682949,10.8412618700,0.0005554645,4.3026520585,1.6261787774,1.7139194922,-1.0063171387,0.0002127406,0.9999927254,-0.2476250460,large,174,E
3.3009487818,0.0172161666,0.0208685142,0.0002963964,0.0004354949,1.6019256418,1.6643155821,292.3689267314,1144.8686909829,3.3009936771,0.0209810525,10.8965592565,0.0004402046,4.3026520585,1.3629566332,1.9771416364,-0.9623718262,0.0002972966,0.9999863994,-0.1034352226,medium,44,D
3.2922578085,0.0118353851,0.0249463183,0.0001400763,0.0006223188,-4.2539021968,4.2756225572,3507.5720789620,803.1835519678,3.2922790820,0.0260099393,10.8391015540,0.0006765169,4.3026520585,1.5822321238,1.7578661458,-1.0063171387,0.0002000179,0.9999935384,-0.2830432947,large,174,E
3.2935463926,0.0124792423,0.0177932076,0.0001557315,0.0003165982,-37.3362640389,12.6919056221,5967.2271694719,1233.6778439633,3.2935700344,0.0179152060,10.8476035717,0.0003209546,3.8639484848,1.5822321238,1.7139194922,-0.5236816406,0.0001973805,0.9999928218,-0.1165039536,large,174,B
3.2947673387,0.0117846847,0.0162722630,0.0001388788,0.0002647865,-57.1935668428,15.1681915040,7085.9633808435,1322.0971172916,3.2947884143,0.0163017075,10.8556306950,0.0002657457,3.6884670553,1.2312692648,1.8894009217,-0.4797363281,0.0001662595,0.9999936034,-0.0600764702,medium,44,B
3.3017499020,0.0194074213,0.0166734974,0.0003766480,0.0002780055,4.4916721296,-17.8351736715,62.5574356182,487.5003286461,3.3018069392,0.0166734976,10.9019290636,0.0002780055,3.6884670553,0.0906399731,3.1618701743,-0.5236816406,0.0003797102,0.9999827255,-0.0001283478,small,13,D
3.2930867761,0.0137306298,0.0261512916,0.0001885302,0.0006838901,-17.9753551216,10.2353763019,4042.2941662269,678.9984871501,3.2931154011,0.0296481267,10.8446090452,0.0008790114,4.0394299142,1.6261787774,1.6701254311,-0.6991577148,0.0002363229,0.9999913076,-0.4711456148,large,174,G
3.2950002130,0.0080465445,0.0145620890,0.0000647469,0.0002120544,4.7662105620,-2.2598865682,23.9677912234,3.1070873014,3.2950100380,0.0147957480,10.8570911504,0.0002189142,3.3373516037,0.0028992584,3.2496108890,-0.0410461426,0.0000897447,0.9999970182,-0.1770175722,small,13,C
3.2937186975,0.0139974270,0.0185688997,0.0001959280,0.0003448040,-48.6238806985,22.0332213320,5415.9539334027,2098.6267012627,3.2937484401,0.0186172320,10.8487787865,0.0003466013,3.9077425459,1.6261787774,1.6701254311,-0.5674743652,0.0002353827,0.9999909700,-0.0720102160,large,174,F
3.2936367854,0.0123057933,0.0184164850,0.0001514325,0.0003391669,-52.3540662431,26.5379194398,5648.4157809266,2253.6239296354,3.2936597740,0.0184259303,10.8481947070,0.0003395149,3.8639484848,1.6261787774,1.8016602069,-0.5674743652,0.0001919230,0.9999930204,-0.0320149131,large,174,B
3.2945068786,0.0165271982,0.0172078026,0.0002731483,0.0002961085,-50.9115019598,48.8935811290,4150.3558756432,4281.6938924215,3.2945483335,0.0172202840,10.8540487217,0.0002965382,3.6007263405,1.6261787774,1.7578661458,-0.3042602539,0.0003033227,0.9999874171,0.0380669183,medium,44,E
3.2982425328,0.0220044834,0.0232881743,0.0004841973,0.0005423391,4.8295222438,9.7850230786,932.3652687241,1122.0440639452,3.2983159343,0.0235029409,10.8788880026,0.0005523882,4.3465987121,1.4067506943,2.1965697195,-0.9623718262,0.0004872860,0.9999777458,-0.1348785382,medium,44,D
3.2931694193,0.0103824650,0.0182741598,0.0001077956,0.0003339449,1.1568003607,38.5644003497,2997.6998055600,3392.8592800010,3.2931857858,0.0182741723,10.8450726195,0.0003339454,3.9077425459,1.5822321238,2.4159978027,-0.5674743652,0.0001544524,0.9999950302,-0.0011683808,medium,44,A
3.2980978332,0.0159614440,0.0129497578,0.0002547677,0.0001676962,-15.9336929863,59.2922881413,1556.4323117880,6710.6623044145,3.2981364564,0.0131831449,10.8777040849,0.0001737953,3.8200018311,1.5384380627,1.6701254311,-0.4797363281,0.0002583859,0.9999882894,0.1873325488,large,174,C
3.2962334730,0.0137265018,0.0216798140,0.0001884169,0.0004700143,-15.8610632729,8.1837507311,2381.2600378309,1168.3948227352,3.2962620535,0.0220229117,10.8653435255,0.0004850086,4.0833765679,1.6261787774,1.7578661458,-0.7431030273,0.0002026036,0.9999913294,-0.1758281558,large,174,G
3.2828915993,0.0203735062,0.0255381101,0.0004150798,0.0006521951,-4.3528703923,9.8764836118,301.2221042607,584.3543538676,3.2829548173,0.0321324417,10.7777923326,0.0010324938,3.8639484848,1.6261787774,1.8894009217,-0.5674743652,0.0007077771,0.9999807436,-0.6069022064,large,174,A
3.2940978780,0.0145615317,0.0176902775,0.0002120382,0.0003129459,-66.8108783979,31.4224876001,6476.1426286987,2130.4200448417,3.2941300624,0.0176944770,10.8512928681,0.0003130945,3.6884670553,1.3629566332,1.7139194922,-0.3919982910,0.0002468732,0.9999902298,-0.0217857802,medium,44,E
